,0,1
0,b'Tropical Depression',199.67000153917192
1,b'Liu Kang',2423.5421195652175
2,b'19th century',291.64573636816584
3,b'Formula One',201.79761997355524
4,b'noisy miner',1102.086499845536
5,b'Garc\xc3\xada M\xc3\xa1rquez',1204.3490716180372
6,b'Lock Haven',2630.6549109504494
7,b'Braathens SAFE',2527.7189418989133
8,b'positive reviews',363.6680816980376
9,b'Premier League',278.7563438885742
10,b'Northern Ireland',154.34046763265664
11,b'Mega Man',465.9683908045977
12,b'Light Horse',1078.7887367525334
13,"b""O 'Malley""",179.94950755999446
14,b'Florida Atlantic',181.15240489113935
15,b'tropical storm',245.86538149130882
16,b'tropical cyclone',261.7546408393866
17,b'Los Angeles',2595.960908413999
18,b'Plunketts Creek',684.3872329200739
19,b'Link Road',144.19723444933527
20,b'NY 38',356.0688691486177
21,b'Final Fantasy',204.74368686868686
22,b'Civil War',256.16657524628647
23,b'Tropical Storm',1002.0938202247191
24,b'20th century',262.43217657926425
25,b'Yue Fei',863.2436527436529
26,b'South Africa',135.98071278825998
27,b'R &',494.004569687738
28,b'Virginia Tech',611.2426912119221
29,b'Rolling Stone',1950.760902255639
30,b'United States',504.04376736000677
31,b'NC State',362.4080253968254
32,"b""I 'm""",173.35784284611273
33,b'Air Force',388.69093632958806
34,b'long tons',129.2007220666044
35,"b""O 'Brien""",831.0825941257639
36,b'War II',140.40507018366026
37,b'North America',218.91773869020577
38,b'km /',148.89828456947285
39,b'San Francisco',187.98632042661723
40,b'\xc2\xb0 F',298.2785442123243
41,b'yard line',123.6349518459069
42,b'Guitar Hero',1679.335080167197
43,b'Hot 100',183.11740270215768
44,b'New Zealand',389.091731497213
45,b'tropical depression',132.378207121754
46,b'/ h',413.2443608113012
47,b'Missouri River',192.82883686361947
48,b'Viet Cong',244.58069381598796
49,b'\xc2\xb0 C',332.9123216877279
50,b'Grand Slam',996.72383059807
51,b'\xe2\x80\x99 s',899.0109159779614
52,b'New Jersey',136.19281300617914
53,b'United Kingdom',180.05389554002303
54,b'Prime Minister',723.7356806347633
55,b'rather than',207.8168281337608
56,b'no longer',154.56404146312403
57,b'World Cup',133.95823365608683
58,"b""don 't""",582.0669341216217
59,"b""didn 't""",447.20628792057363
60,b'Football League',242.6122375277305
61,b'World War',289.9222258870965
62,b'Billboard Hot',266.9251028806584
63,b'Kingdom Hearts',336.4387343893389
64,b'Mortal Kombat',2588.517538332283
65,b'New York',337.324555759274
66,b'Rio de',293.4183784672959
67,b'Aston Villa',778.2803500846978
68,b'North Carolina',140.54777898158179
